rep,ID,timeAfterLastDose,sim_y1,censored,split,color,filter
31,14,24,11.2443,0,All,-1,0
31,15,24,22.7365,0,All,-1,0
32,1,24,23.37,0,All,-1,0
32,2,24,52.7452,0,All,-1,0
32,3,24,54.0415,0,All,-1,0
32,4,24,55.6432,0,All,-1,0
32,5,24,70.6998,0,All,-1,0
32,6,24,46.4657,0,All,-1,0
32,7,24,73.8076,0,All,-1,0
32,8,24,109.198,0,All,-1,0
32,9,24,24.6318,0,All,-1,0
32,10,24,62.6523,0,All,-1,0
32,11,24,57.9114,0,All,-1,0
32,12,24,107.358,0,All,-1,0
32,13,24,51.0349,0,All,-1,0
32,14,24,13.3927,0,All,-1,0
32,15,24,30.6529,0,All,-1,0
33,1,24,25.4264,0,All,-1,0
33,2,24,38.6347,0,All,-1,0
33,3,24,46.9531,0,All,-1,0
33,4,24,54.2766,0,All,-1,0
33,5,24,41.8641,0,All,-1,0
33,6,24,40.5063,0,All,-1,0
33,7,24,60.6505,0,All,-1,0
33,8,24,96.055,0,All,-1,0
33,9,24,37.6313,0,All,-1,0
33,10,24,75.6071,0,All,-1,0
33,11,24,81.5231,0,All,-1,0
33,12,24,112.022,0,All,-1,0
33,13,24,55.9976,0,All,-1,0
33,14,24,16.9588,0,All,-1,0
33,15,24,25.1124,0,All,-1,0
34,1,24,26.442,0,All,-1,0
34,2,24,48.6527,0,All,-1,0
34,3,24,37.7687,0,All,-1,0
34,4,24,70.9606,0,All,-1,0
34,5,24,63.6011,0,All,-1,0
34,6,24,51.3153,0,All,-1,0
34,7,24,83.6987,0,All,-1,0
34,8,24,89.6705,0,All,-1,0
34,9,24,33.5538,0,All,-1,0
34,10,24,56.7551,0,All,-1,0
34,11,24,55.9952,0,All,-1,0
34,12,24,83.9862,0,All,-1,0
34,13,24,41.9036,0,All,-1,0
34,14,24,16.1928,0,All,-1,0
34,15,24,22.7374,0,All,-1,0
35,1,24,32.9394,0,All,-1,0
35,2,24,53.7513,0,All,-1,0
35,3,24,55.2743,0,All,-1,0
35,4,24,63.0927,0,All,-1,0
35,5,24,37.4153,0,All,-1,0
35,6,24,52.7636,0,All,-1,0
35,7,24,78.9561,0,All,-1,0
35,8,24,93.8868,0,All,-1,0
35,9,24,25.6852,0,All,-1,0
35,10,24,49.649,0,All,-1,0
35,11,24,64.0169,0,All,-1,0
35,12,24,83.7876,0,All,-1,0
35,13,24,57.8094,0,All,-1,0
35,14,24,13.6858,0,All,-1,0
35,15,24,31.3885,0,All,-1,0
36,1,24,30.8216,0,All,-1,0
36,2,24,60.818,0,All,-1,0
36,3,24,38.8249,0,All,-1,0
36,4,24,58.147,0,All,-1,0
36,5,24,73.1762,0,All,-1,0
36,6,24,49.8328,0,All,-1,0
36,7,24,65.7739,0,All,-1,0
36,8,24,88.0848,0,All,-1,0
36,9,24,28.6346,0,All,-1,0
36,10,24,63.9141,0,All,-1,0
36,11,24,74.3902,0,All,-1,0
36,12,24,82.4315,0,All,-1,0
36,13,24,60.3401,0,All,-1,0
36,14,24,10.611,0,All,-1,0
36,15,24,30.9316,0,All,-1,0
37,1,24,28.3147,0,All,-1,0
37,2,24,48.082,0,All,-1,0
37,3,24,63.6967,0,All,-1,0
37,4,24,82.2928,0,All,-1,0
37,5,24,68.2866,0,All,-1,0
37,6,24,60.1285,0,All,-1,0
37,7,24,59.6181,0,All,-1,0
37,8,24,73.7841,0,All,-1,0
37,9,24,24.4853,0,All,-1,0
37,10,24,40.1233,0,All,-1,0
37,11,24,86.2129,0,All,-1,0
37,12,24,64.8595,0,All,-1,0
37,13,24,41.8327,0,All,-1,0
37,14,24,18.135,0,All,-1,0
37,15,24,31.6458,0,All,-1,0
38,1,24,25.5403,0,All,-1,0
38,2,24,39.3785,0,All,-1,0
38,3,24,41.7143,0,All,-1,0
38,4,24,38.4822,0,All,-1,0
38,5,24,67.6217,0,All,-1,0
38,6,24,44.8873,0,All,-1,0
38,7,24,76.4928,0,All,-1,0
38,8,24,72.7414,0,All,-1,0
38,9,24,25.6062,0,All,-1,0
38,10,24,62.0643,0,All,-1,0
38,11,24,67.7723,0,All,-1,0
38,12,24,101.442,0,All,-1,0
38,13,24,47.1752,0,All,-1,0
38,14,24,16.5782,0,All,-1,0
38,15,24,27.1048,0,All,-1,0
39,1,24,28.6659,0,All,-1,0
39,2,24,29.3878,0,All,-1,0
39,3,24,47.819,0,All,-1,0
39,4,24,54.7594,0,All,-1,0
39,5,24,62.0916,0,All,-1,0
39,6,24,55.8584,0,All,-1,0
39,7,24,86.0933,0,All,-1,0
39,8,24,89.7074,0,All,-1,0
39,9,24,41.0014,0,All,-1,0
39,10,24,40.4317,0,All,-1,0
39,11,24,73.4437,0,All,-1,0
39,12,24,106.669,0,All,-1,0
39,13,24,62.9005,0,All,-1,0
39,14,24,13.7069,0,All,-1,0
39,15,24,28.6894,0,All,-1,0
40,1,24,29.5815,0,All,-1,0
40,2,24,44.5849,0,All,-1,0
40,3,24,64.5509,0,All,-1,0
40,4,24,60.4039,0,All,-1,0
40,5,24,60.9906,0,All,-1,0
40,6,24,66.2057,0,All,-1,0
40,7,24,83.4812,0,All,-1,0
40,8,24,76.6924,0,All,-1,0
40,9,24,39.9726,0,All,-1,0
40,10,24,48.5728,0,All,-1,0
40,11,24,79.5696,0,All,-1,0
40,12,24,101.042,0,All,-1,0
40,13,24,47.6597,0,All,-1,0
40,14,24,16.5523,0,All,-1,0
40,15,24,32.3056,0,All,-1,0
41,1,24,24.6564,0,All,-1,0
41,2,24,54.4697,0,All,-1,0
41,3,24,52.0005,0,All,-1,0
41,4,24,52.9397,0,All,-1,0
41,5,24,70.139,0,All,-1,0
41,6,24,56.6623,0,All,-1,0
41,7,24,77.5428,0,All,-1,0
41,8,24,79.522,0,All,-1,0
41,9,24,21.0484,0,All,-1,0
41,10,24,61.5534,0,All,-1,0
41,11,24,56.687,0,All,-1,0
41,12,24,79.5766,0,All,-1,0
41,13,24,54.2573,0,All,-1,0
41,14,24,13.7309,0,All,-1,0
41,15,24,29.0015,0,All,-1,0
42,1,24,30.1887,0,All,-1,0
42,2,24,50.6349,0,All,-1,0
42,3,24,51.0592,0,All,-1,0
42,4,24,48.8278,0,All,-1,0
42,5,24,58.0454,0,All,-1,0
42,6,24,48.1795,0,All,-1,0
42,7,24,98.166,0,All,-1,0
42,8,24,82.9325,0,All,-1,0
42,9,24,17.9439,0,All,-1,0
42,10,24,82.1765,0,All,-1,0
42,11,24,91.1249,0,All,-1,0
42,12,24,69.0949,0,All,-1,0
42,13,24,56.3241,0,All,-1,0
42,14,24,16.5509,0,All,-1,0
42,15,24,28.5062,0,All,-1,0
43,1,24,33.798,0,All,-1,0
43,2,24,32.2251,0,All,-1,0
43,3,24,47.118,0,All,-1,0
43,4,24,52.5274,0,All,-1,0
43,5,24,68.4135,0,All,-1,0
43,6,24,49.3952,0,All,-1,0
43,7,24,79.5005,0,All,-1,0
43,8,24,105.885,0,All,-1,0
43,9,24,34.1212,0,All,-1,0
43,10,24,61.0055,0,All,-1,0
43,11,24,87.7628,0,All,-1,0
43,12,24,101.03,0,All,-1,0
43,13,24,56.8158,0,All,-1,0
43,14,24,13.4284,0,All,-1,0
43,15,24,26.1437,0,All,-1,0
44,1,24,26.9995,0,All,-1,0
44,2,24,51.5957,0,All,-1,0
44,3,24,58.2192,0,All,-1,0
44,4,24,62.9406,0,All,-1,0
44,5,24,62.6722,0,All,-1,0
44,6,24,61.3517,0,All,-1,0
44,7,24,86.6181,0,All,-1,0
44,8,24,79.8801,0,All,-1,0
44,9,24,37.6279,0,All,-1,0
44,10,24,60.4138,0,All,-1,0
44,11,24,84.2585,0,All,-1,0
44,12,24,77.0835,0,All,-1,0
44,13,24,51.8861,0,All,-1,0
44,14,24,16.6015,0,All,-1,0
44,15,24,28.1612,0,All,-1,0
45,1,24,27.1468,0,All,-1,0
45,2,24,56.6971,0,All,-1,0
45,3,24,56.7944,0,All,-1,0
