popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
73.8165,72.1808,73.8165,53.576,94.0571,73.8165,72.1808,73.8165,53.576,94.0571,All
73.874,72.2369,73.874,53.6177,94.1303,73.874,72.2369,73.874,53.6177,94.1303,All
75.3736,73.6902,75.3736,54.7061,96.041,75.3736,73.6902,75.3736,54.7061,96.041,All
76.6079,74.8407,76.6079,55.602,97.6138,76.6079,74.8407,76.6079,55.602,97.6138,All
76.8731,75.0879,76.8731,55.7945,97.9518,76.8731,75.0879,76.8731,55.7945,97.9518,All
78.3727,76.4612,78.3727,56.8829,99.8625,78.3727,76.4612,78.3727,56.8829,99.8625,All
79.5048,77.4703,79.5048,57.7046,101.305,79.5048,77.4703,79.5048,57.7046,101.305,All
79.8722,77.7977,79.8722,57.9712,101.773,79.8722,77.7977,79.8722,57.9712,101.773,All
81.3718,79.1343,81.3718,59.0596,103.684,81.3718,79.1343,81.3718,59.0596,103.684,All
82.5113,80.1499,82.5113,59.8867,105.136,82.5113,80.1499,82.5113,59.8867,105.136,All
82.8714,80.4708,82.8714,60.148,105.595,82.8714,80.4708,82.8714,60.148,105.595,All
84.3709,81.7958,84.3709,61.2364,107.505,84.3709,81.7958,84.3709,61.2364,107.505,All
85.6314,82.8453,85.6314,62.1513,109.112,85.6314,82.8453,85.6314,62.1513,109.112,All
85.8705,83.0443,85.8705,62.3247,109.416,85.8705,83.0443,85.8705,62.3247,109.416,All
87.37,84.2927,87.37,63.4131,111.327,87.37,84.2927,87.37,63.4131,111.327,All
88.8696,85.5411,88.8696,64.5015,113.238,88.8696,85.5411,88.8696,64.5015,113.238,All
